assessment_name,url,description,test_type,test_type_label,domain,job_level
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,This assessment evaluates knowledge and technical skills relevant to sales & customer service roles. Technical Sales Associate Solution helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Sales & Customer Service,Mid
Svar Spoken English Indian Accent New,https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,This assessment evaluates general aptitude relevant to general roles. Svar Spoken English Indian Accent New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
English Comprehension New,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,This assessment evaluates general aptitude relevant to general roles. English Comprehension New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,This assessment evaluates general aptitude relevant to leadership roles. Enterprise Leadership Report helps identify candidates with the right competencies and potential for success.,G,General,Leadership,Senior
Occupational Personality Questionnaire OPQ32R,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,This assessment evaluates personality and behavioral relevant to general roles. Occupational Personality Questionnaire OPQ32R helps identify candidates with the right competencies and potential for success.,P,Personality & Behavior,General,Mid
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,This assessment evaluates personality and behavioral relevant to leadership roles. OPQ Leadership Report helps identify candidates with the right competencies and potential for success.,P,Personality & Behavior,Leadership,Senior
OPQ Team Types And Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,This assessment evaluates personality and behavioral relevant to leadership roles. OPQ Team Types And Leadership Styles Report helps identify candidates with the right competencies and potential for success.,P,Personality & Behavior,Leadership,Senior
Enterprise Leadership Report 2 0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,This assessment evaluates general aptitude relevant to leadership roles. Enterprise Leadership Report 2 0 helps identify candidates with the right competencies and potential for success.,G,General,Leadership,Senior
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,This assessment evaluates general aptitude relevant to general roles. Global Skills Assessment helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Verify Verbal Ability Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,This assessment evaluates cognitive abilities and reasoning relevant to general roles. Verify Verbal Ability Next Generation helps identify candidates with the right competencies and potential for success.,C,Cognitive,General,Mid
SHL Verify Interactive Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,This assessment evaluates cognitive abilities and reasoning relevant to general roles. SHL Verify Interactive Inductive Reasoning helps identify candidates with the right competencies and potential for success.,C,Cognitive,General,Mid
Marketing New,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,This assessment evaluates general aptitude relevant to general roles. Marketing New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
English Comprehension New,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,This assessment evaluates general aptitude relevant to general roles. English Comprehension New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Drupal New,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,This assessment evaluates general aptitude relevant to general roles. Drupal New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Written English V1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,This assessment evaluates general aptitude relevant to general roles. Written English V1 helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Occupational Personality Questionnaire OPQ32R,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,This assessment evaluates personality and behavioral relevant to general roles. Occupational Personality Questionnaire OPQ32R helps identify candidates with the right competencies and potential for success.,P,Personality & Behavior,General,Mid
Search Engine Optimization New,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,This assessment evaluates general aptitude relevant to general roles. Search Engine Optimization New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,This assessment evaluates general aptitude relevant to general roles. Automata Selenium helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Professional 7 1 Solution,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,This assessment evaluates general aptitude relevant to general roles. Professional 7 1 Solution helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Javascript New,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,This assessment evaluates knowledge and technical skills relevant to technology roles. Javascript New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Technology,Mid
Htmlcss New,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,This assessment evaluates general aptitude relevant to general roles. Htmlcss New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Css3 New,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,This assessment evaluates general aptitude relevant to general roles. Css3 New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Selenium New,https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,This assessment evaluates general aptitude relevant to general roles. Selenium New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Sql Server New,https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,This assessment evaluates knowledge and technical skills relevant to technology roles. Sql Server New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Technology,Mid
Automata Sql New,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,This assessment evaluates knowledge and technical skills relevant to technology roles. Automata Sql New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Technology,Mid
Manual Testing New,https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,This assessment evaluates general aptitude relevant to general roles. Manual Testing New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Administrative Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,This assessment evaluates general aptitude relevant to administrative roles. Administrative Professional Short Form helps identify candidates with the right competencies and potential for success.,G,General,Administrative,Mid
Verify Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,This assessment evaluates cognitive abilities and reasoning relevant to general roles. Verify Numerical Ability helps identify candidates with the right competencies and potential for success.,C,Cognitive,General,Mid
Financial Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,This assessment evaluates general aptitude relevant to general roles. Financial Professional Short Form helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Bank Administrative Assistant Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,This assessment evaluates general aptitude relevant to administrative roles. Bank Administrative Assistant Short Form helps identify candidates with the right competencies and potential for success.,G,General,Administrative,Mid
General Entry Level Data Entry 7 0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,This assessment evaluates general aptitude relevant to general roles. General Entry Level Data Entry 7 0 Solution helps identify candidates with the right competencies and potential for success.,G,General,General,Entry
Basic Computer Literacy Windows 10 New,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,This assessment evaluates general aptitude relevant to general roles. Basic Computer Literacy Windows 10 New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Manager 8 0 Jfa 4310,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,This assessment evaluates general aptitude relevant to leadership roles. Manager 8 0 Jfa 4310 helps identify candidates with the right competencies and potential for success.,G,General,Leadership,Senior
Microsoft Excel 365 Essentials New,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,This assessment evaluates knowledge and technical skills relevant to general roles. Microsoft Excel 365 Essentials New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,General,Mid
Digital Advertising New,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,This assessment evaluates general aptitude relevant to general roles. Digital Advertising New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Writex Email Writing Sales New,https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,This assessment evaluates general aptitude relevant to sales & customer service roles. Writex Email Writing Sales New helps identify candidates with the right competencies and potential for success.,G,General,Sales & Customer Service,Mid
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,This assessment evaluates cognitive abilities and reasoning relevant to general roles. SHL Verify Interactive Numerical Calculation helps identify candidates with the right competencies and potential for success.,C,Cognitive,General,Mid
Professional 7 1 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,This assessment evaluates general aptitude relevant to general roles. Professional 7 1 Solution helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Sql Server Analysis Services %28Ssas%29 %28New%29,https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,This assessment evaluates knowledge and technical skills relevant to technology roles. Sql Server Analysis Services %28Ssas%29 %28New%29 helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Technology,Mid
Python New,https://www.shl.com/solutions/products/product-catalog/view/python-new/,This assessment evaluates knowledge and technical skills relevant to technology roles. Python New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Technology,Mid
Tableau New,https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,This assessment evaluates general aptitude relevant to general roles. Tableau New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Microsoft Excel 365 New,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,This assessment evaluates knowledge and technical skills relevant to general roles. Microsoft Excel 365 New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,General,Mid
Professional 7 0 Solution 3958,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,This assessment evaluates general aptitude relevant to general roles. Professional 7 0 Solution 3958 helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,This assessment evaluates general aptitude relevant to general roles. Data Warehousing Concepts helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
